order_id,user_id,product_id,order_date,price,quantity,is_returned
1,4821,312,2024-09-25,298.19,2,0
2,4112,186,2023-09-11,297.24,4,0
3,353,358,2024-07-13,244.92,2,0
4,94,102,2024-06-21,287.47,4,0
5,2709,112,2023-12-15,198.87,4,0
6,2535,29,2023-11-22,299.91,2,0
7,2411,383,2024-12-12,328.22,3,0
8,1800,323,2023-10-02,35.78,2,0
9,2155,169,2023-12-10,64.36,3,0
10,3455,407,2024-10-15,418.75,1,0
11,4553,112,2024-05-19,12.91,1,1
12,920,489,2024-06-28,227.54,2,0
13,4236,445,2024-04-17,478.16,4,0
14,2261,311,2025-06-07,374.85,4,0
15,2351,467,2024-05-10,189.61,3,0
16,3498,178,2024-10-14,344.69,1,0
17,2634,279,2024-12-26,43.31,2,0
18,575,57,2024-11-15,399.49,2,0
19,1816,126,2025-03-22,203.88,2,0
20,3442,481,2025-02-05,452.19,2,0
21,886,95,2024-03-27,480.84,3,0
22,4630,430,2023-12-06,139.08,4,0
23,1290,307,2023-12-23,441.97,3,0
24,919,157,2024-08-15,229.57,3,0
25,1427,335,2024-08-19,180.56,2,0
26,1017,189,2023-12-07,132.43,4,0
27,4061,432,2024-02-29,45.86,1,0
28,4478,467,2023-09-19,426.33,2,0
29,2308,182,2024-05-07,84.53,3,0
30,3385,468,2024-04-17,39.17,2,0
31,141,51,2024-07-13,121.87,4,0
32,4476,480,2025-02-02,169.9,2,0
33,1505,1,2023-11-24,163.29,2,1
34,2366,350,2024-06-12,179.58,4,0
35,2273,111,2024-01-22,463.04,3,1
36,2908,410,2023-12-23,406.57,2,0
37,4729,5,2024-08-28,89.95,1,0
38,2918,387,2024-08-20,477.71,3,0
39,2580,420,2025-06-24,114.47,2,0
40,4140,16,2023-12-10,273.85,2,0
41,1499,478,2024-07-23,430.97,3,1
42,3445,69,2024-04-07,394.11,2,0
43,3576,184,2025-02-15,85.31,3,0
44,2626,465,2024-08-06,291.06,3,0
45,1796,227,2024-01-04,300.07,3,0
46,1910,418,2023-09-10,383.11,1,0
47,4064,314,2024-09-08,219.44,3,0
48,4428,418,2023-08-22,357.97,1,1
49,142,389,2024-08-07,288.78,3,0
50,3154,350,2024-03-02,10.37,1,0
51,4709,175,2024-12-09,417.31,1,0
52,847,428,2024-01-14,452.67,1,0
53,1894,164,2025-05-29,191.75,1,0
54,3884,439,2024-09-02,295.14,2,0
55,2166,430,2023-11-25,194.99,3,0
56,286,268,2025-05-11,479.34,3,0
57,2608,267,2024-12-30,78.66,1,0
58,4308,425,2024-11-05,62.72,1,0
59,4904,49,2023-12-12,306.64,3,0
60,4720,441,2025-06-08,163.08,3,1
61,488,136,2023-11-05,62.4,3,1
62,434,486,2025-01-21,249.03,4,0
63,4269,199,2023-09-14,271.78,3,1
64,3364,423,2025-02-12,220.94,4,0
65,2123,352,2023-11-07,377.75,4,1
66,1086,408,2025-01-14,340.61,1,0
67,2887,24,2023-11-28,322.46,3,0
68,4048,322,2023-08-22,421.99,2,0
69,2440,212,2024-01-08,174.74,2,0
70,497,39,2024-11-16,113.28,3,1
71,2363,286,2023-09-13,284.99,1,0
72,4635,203,2025-04-13,23.88,4,0
73,1506,221,2025-03-30,494.04,1,0
74,1650,68,2024-07-30,474.2,4,0
75,3955,463,2024-06-30,446.56,3,0
76,3509,49,2023-10-27,404.27,3,0
77,2067,162,2024-08-01,335.91,3,0
78,62,307,2023-11-30,223.88,4,1
79,3255,415,2023-10-07,104.22,2,0
80,3167,203,2024-02-29,318.15,3,1
81,1146,51,2024-05-04,338.61,1,0
82,1253,327,2025-02-26,267.19,4,0
83,3630,192,2024-08-24,481.82,4,0
84,2374,309,2025-06-14,482.37,2,0
85,4944,413,2024-06-22,171.36,2,0
86,2010,469,2023-09-08,259.94,3,0
87,2430,464,2023-12-12,467.44,3,0
88,4273,168,2024-08-20,150.61,1,0
89,3313,414,2024-10-29,328.16,3,0
90,1736,92,2025-01-14,34.24,4,1
91,1501,22,2024-01-13,455.32,1,0
92,2398,493,2024-04-29,317.03,4,0
93,1259,242,2023-12-28,157.85,4,0
94,4352,136,2024-12-22,285.68,1,1
95,3646,263,2025-01-22,66.53,1,0
96,2026,144,2024-02-12,120.07,2,0
97,1585,340,2025-05-16,420.74,2,0
98,48,90,2025-07-01,414.87,3,0
99,4523,391,2025-04-13,259.87,2,0
100,532,163,2025-05-11,489.72,2,0
101,4308,426,2024-05-12,50.7,1,0
102,976,409,2024-02-22,457.24,4,0
103,2589,354,2024-07-20,97.77,1,0
104,4468,492,2025-03-29,350.24,4,0
105,847,306,2023-10-21,259.21,2,0
106,420,113,2025-02-05,116.75,3,0
107,4606,85,2023-11-03,209.33,3,0
108,1001,478,2024-08-07,267.83,4,0
109,3329,453,2024-09-25,230.32,2,0
110,3448,323,2024-12-15,181.76,1,1
111,2752,231,2025-01-06,154.16,3,0
112,4266,190,2023-08-19,225.93,1,0
113,3400,211,2025-04-30,313.86,2,0
114,661,190,2025-03-15,171.2,3,0
115,1402,18,2023-08-23,173.59,1,0
116,1168,154,2023-08-17,393.2,1,0
117,1727,55,2025-04-24,370.04,4,0
118,611,326,2025-05-25,229.61,4,0
119,4167,492,2023-09-11,449.17,4,0
120,1143,307,2023-08-31,305.41,2,0
121,2256,427,2024-08-21,90.21,4,0
122,4172,344,2024-04-17,142.18,4,1
123,4100,432,2023-12-12,192.97,2,1
124,797,475,2024-06-19,226.16,1,0
125,696,182,2023-10-09,261.07,2,0
126,722,39,2025-01-02,275.74,4,0
127,4705,395,2023-12-08,402.76,3,0
128,1350,252,2025-07-04,67.09,2,0
129,3849,308,2023-11-04,197.89,1,0
130,2909,170,2024-09-07,64.13,4,0
131,940,16,2023-12-19,152.03,4,0
132,2064,39,2024-09-29,326.24,1,0
133,4174,346,2023-10-13,188.75,1,0
134,3410,239,2023-10-08,217.84,3,0
135,4803,323,2023-12-11,469.87,2,0
